Order,PO,Call #,Color,Interior Color,Handing,Options 1,Options 2,Options 3,Jamb,Misc.
2a,ULT AWN SCRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a,ULT AWN SCRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
4a,ULT AWN SCRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
5a,ULT AWN SCRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a,ULT AWN SCRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZJ01023,2418,,,,,,,,,
16,ELIFD G3 6 9/16 X ASSY,CN 3080,STONE WHITE,Bare pine interior,Left Hand,7/8sdl with spacebar,STAINLESS,Tempered Low E2 w/Argon,6 9/16 Jambs,Nailing fin
31,ELOFD X ASSY,CN 3080,STONE WHITE ,Bare pine interior,Right Hand,7/8sdl with spacebar ,STAINLESS,Tempered Low E2 w/Argon,6 9/16 Jambs,Nailing fin
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AZJ0233,1317,,,,,,,,,
18e,ELSPD XO SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,
,,,,,,,,,,
AZJ00643,1729,,,,,,,,,
10,ULT CSMT ASSY,CN 3656,STONE WHITE,WHITE PINE,Left Hand,7/8sdl with spacerbar black,rectangular special cut 3w3h,Low E2 w/Argon,6 9/16 Jambs,Nailing fin
AZJ00290,1404,,,,,,,,,
1,ELDH INSERT ASSY,NA,STONE WHITE,White Interior ,NA,NA,Rectangular 3w2h,Low E2 w/Argon,3 1/4 jambs,NA
1,ELDH INSERT ASSY,NA,STONE WHITE,White Interior ,NA,NA,Rectangular 3w2h,Low E2 w/Argon,3 1/4 jambs,NA
1,ELDH INSERT ASSY,NA,STONE WHITE,White Interior ,NA,NA,Rectangular 3w2h,Low E2 w/Argon,3 1/4 jambs,NA
1,ELDH INSERT ASSY,NA,STONE WHITE,White Interior ,NA,NA,Rectangular 3w2h,Low E2 w/Argon,3 1/4 jambs,NA
7,ELDH INSERT ASSY,NA,STONE WHITE,White Interior ,NA,Stainless perimeter bar,Rectangular 3w2h,Low E2 w/Argon,3 1/4 jambs,NA
7,ELDH INSERT ASSY,NA,STONE WHITE,White Interior ,NA,Stainless perimeter bar,Rectangular 3w2h,Low E2 w/Argon,3 1/4 jambs,NA
,,,,,,,,,,
