Order,PO,Call #,Color,Interior Color,Handing,Options 1,Options 2,Options 3,Jamb,Misc.
1,INFINITY CASEMENT,NA,stone white exterior,stone white interior,left hand/right hand ,stainless perimeter baar,rectangular 2W4H,Laminated Low E2 w/ Argon,,
AZJ03035,5156,,,,,,,,,
2c,MN RECT DG ASSEMBLY,na,na,na,na,na,na,na,na,na
2d,MN RECT DG ASSEMBLY,na,na,na,na,na,na,na,na,na
2e,MN RECT DG ASSEMBLY,na,na,na,na,na,na,na,na,na
AZJ03034,5156,,,,,,,,,
23,ELEVATE RECT POLY ASSY,NA,gunmetal exterior,designer black pine interior,na,black perimeter bar,2W1H - rectangle assembly ,Low E2 w/ Argon,"6 13/16"" jambs",nailing fin CA/AWN frame
25,ELEVATE RECT POLY ASSY,na,gunmetal exterior,designer black pine interior,na,black perimeter bar,2W1H - rectangle assembly ,Low E2 w/ Argon,"6 13/16"" jambs",nailing fin CA/AWN frame
AZJ00972,2041,,,,,,,,,
7,CUID 6 9/16 2.25 X ASSY,"CN 30 X FRAME SIZE 107 1/2""",ebony clad exterior,painted interior finish,left hand,black perimeter bar,na,tempered low E2 w/ argon,"6 9/16"" jambs",Thru Jamb Installation w/ Nailing Fin
AZJ02669,4648,,,,,,,,,
1,INFINITY GL XO ASSY,na,bronze exterior,stone white interior,na,black perimeter and spacer bar,rectangular 2W3H,Low E2 w/ Argon,"2 7/8"" jambs",nailing fin
1,INFINITY GL XO ASSY,na,bronze exterior,stone white interior,na,black perimeter and spacer bar,rectangular 2W3H,Low E2 w/ Argon,"2 7/8"" jambs",nailing fin
REEB,1170,,,,,,,,,
NA,DOOR,NA,NA,NA,NA,NA,NA,NA,NA,NA
REEB,NOT MARKED,,,,,,,,,
NA,DOOR SLAB,"85 1/8"" tall x 37 1/8"" wide",white,white,na,na,na,na,na,na
REEB,1079,,,,,,,,,
634794,DOOR SLAB ,"96"" tall x 30"" wide",white,white,na,na,na,na,na,na
634794,DOOR SLAB ,"96"" tall x 30"" wide",white,white,na,na,na,na,na,na
634794,DOOR SLAB ,"96"" tall x 30"" wide",white,white,na,na,na,na,na,na
634794,DOOR SLAB ,"96"" tall x 30"" wide",white,white,na,na,na,na,na,na
634794,DOOR SLAB ,"96"" tall x 30"" wide",white,white,na,na,na,na,na,na
634794,DOOR SLAB ,"96"" tall x 30"" wide",white,white,na,na,na,na,na,na
634794,DOOR SLAB ,"96"" tall x 30"" wide",white,white,na,na,na,na,na,na
634794,DOOR SLAB ,"96"" tall x 30"" wide",white,white,na,na,na,na,na,na
AZJ02877,5007,,,,,,,,,
16,ELEVATE DOUBLE HUNG ASSEMBLY,CN 3848,ebony exterior,WHITE INTERIOR,na,black perimeter and spacer bar,rectangular - special cut 2W1H,tempered Low E2 W/ Argon,"6 9/16"" jambs",nailing fin
AZJ01202,2651,,,,,,,,,
7,ELEVATE DOUBLE HUNG ASSEMBLY,CN 3864,bronze exterior,bare pine interior,na,stainless perimeter bar,na,Low E2 w/ Argon,"4 9/16"" jambs",nailing fin
AZJ02554,3820,,,,,,,,,
32,ELEVATE CASEMENT ASSEMBLY,CN 3347,stone white exterior,white interior,na,stainless perimeter bar,na,Low E2 w/ Argon,"4 9/16"" jambs",nailing fin
33,ELEVATE CASEMENT ASSEMBLY,CN 3347,stone white exterior,white interior,na,stainless perimeter bar,na,Low E2 w/ Argon,"4 9/16"" jambs",nailing fin
34,ELEVATE CASEMENT ASSEMBLY,CN 3347,stone white exterior,white interior,na,stainless perimeter bar,na,Low E2 w/ Argon,"4 9/16"" jambs",nailing fin
AZJ02854,4484,,,,,,,,,
1,ELIFD G3 4 9/16 X ASSY,CN 3070,ebony exterior,designer black pine interior,right hand,stainless perimeter bar,na,tempered low e3 frost,"4 9/16"" jambs",nailing fin
4,ELEVATE P4 DG ASSY,NA,ebony exterior,designer black pine interior,na,stainless perimeter bar,na,low e3 w/ argon,"4 9/16"" jambs",nailing fin CA/AWN frame
6,ELEVATE P4 DG ASSY,NA,ebony exterior,designer black pine interior,na,stainless perimeter bar,na,low e3 w/ argon,"4 9/16"" jambs",nailing fin CA/AWN frame
7,ELEVATE P4 DG ASSY,NA,ebony exterior,designer black pine interior,na,stainless perimeter bar,na,low e3 w/ argon,"4 9/16"" jambs",nailing fin CA/AWN frame
9,ELEVATE P4 DG ASSY,NA,ebony exterior,designer black pine interior,na,stainless perimeter bar,na,low e3 w/ argon,"4 9/16"" jambs",nailing fin CA/AWN frame
12,ELEVATE P4 DG ASSY,NA,ebony exterior,designer black pine interior,na,stainless perimeter bar,na,low e3 w/ argon,"4 9/16"" jambs",nailing fin CA/AWN frame
14,ELEVATE P4 DG ASSY,NA,ebony exterior,designer black pine interior,na,stainless perimeter bar,na,low e3 w/ argon,"4 9/16"" jambs",nailing fin CA/AWN frame
15,ELEVATE P4 DG ASSY,NA,ebony exterior,designer black pine interior,na,stainless perimeter bar,na,low e3 w/ argon,"4 9/16"" jambs",nailing fin CA/AWN frame
17,ELEVATE P4 DG ASSY,NA,ebony exterior,designer black pine interior,na,stainless perimeter bar,na,low e3 w/ argon,"4 9/16"" jambs",nailing fin CA/AWN frame
AZJ03298,5502,,,,,,,,,
18,ELEVATE DOUBLE HUNG ASSEMBLY,standard CN width 38,ebony exterior,white interior,na,stainless perimeter bar,rectangular - special cut 3W2H,Low E2 w/ Argon,"4 9/16"" jambs",nailing fin
AZJ03392,5664,,,,,,,,,
2,ULT CSMT ASSY,na,ebony clad exterior,white-pine interior,left hand,black perimeter and spacer bar,na,low e2 w/ argon,"4 9/16"" jambs",nailing fin
AZJ03443,5780,,,,,,,,,
7,ELEVATE DOUBLE HUNG ASSEMBLY,NA,ebony exterior,designer black pine interior,na,black perimeter bar,na,Low E2 w/ Argon,"4 9/16"" jambs",nailing fin
19,ELEVATE DOUBLE HUNG ASSEMBLY,NA,ebony exterior,designer black pine interior,na,black perimeter bar,na,Low E2 w/ Argon,"4 9/16"" jambs",nailing fin
31,ELEVATE DOUBLE HUNG ASSEMBLY,NA,ebony exterior,designer black pine interior,na,black perimeter bar,na,Low E2 w/ Argon,"4 9/16"" jambs",nailing fin
AZJ03659,5780,,,,,,,,,
1,ELEVATE DOUBLE HUNG ASSEMBLY,NA,ebony exterior,designer black pine interior,na,black perimeter bar,2W1H - rectangle assembly ,low e2 w/ argon,"4 9/16"" jambs",nailing fin
AZJ03802,,,,,,,,,,
21,CUIFD G2 6 9/16 X ASSY,CN 3080,ebony clad exterior,designer black pine interior,left hand,black perimeter and spacer bar,rectangular - standard cut 3W6H,tempered Low E2 W/ Argon,"6 13/16"" jambs",Thru Jamb Installation w/ Nailing Fin
TRUSTILE,2092-1,,,,,,,,,
1094788,door,,na,na,na,na,na,na,na,na
AZJ01703,2380AO,,,,,,,,,
1,ultimate direct glaze rectangle,NA,cadet gray exterior,painted interior finish -white-pine-interior,na,black perimeter bar ,na,low e2,"4 9/16"" jambs",nailing fin
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
